Owner,AirdropAmount
3zos8vMY7orEVxW4DjAXbxkCzqytr6STvhRTCptF5HDf,0.067991237
D5B4tAePXUE5xYttaMxk1PNo3LxHsSv2YcVeZqtsa7EP,0.059511840
B4wGbZSQj8Y2UEaGmhZcF7GAoVCYyqg2LnchaMcNreeD,0.053472389
53MvniL8CW67ke3NRJqUhZCBxNwtFXydPNwGmcd9ei3T,0.034831243
F5rNukbXvCLr6maqy9HMoW1o3eipPauos4Zaejka1vB,0.032417837
owaiEcw2A92x6rhjoJ5i2kgxKsZE2LHkT4fjuL7ARH9,0.030334073
ARotFmcfdWUyvv2q67EeZHKN4MrD3JapX7SZstNScigx,0.028612408
FbJR8KB8WKybYzBumJ4RyR6SVu7N3fEtqknowiq2qwkk,0.026582660
FwVD1iGubBH1kRNJhyTgdSoStksE3ok7MLjhffS17YhL,0.026243608
HZXS2ZhCBipHG6Bmk4LA8xHBvHqkh2ZvYbQDWf4JHzvb,0.026232890
5YFVLvWojMU3nUeppGd4tv8Fem8pC3rdriJbF8FhNkBz,0.025716699
H1VgDwWnpS6esyLS3wdFqECfrQ9PdnpjNtdrTGau25ws,0.025588423
DL59JFMnerHtZBLCyVNcbvemQbfWGfNkfYJXTDsu91AD,0.024983707
8Ezq3aG1XjcBJYjoazvXAcb3EjG7qKYnoRtQa8Jk5F7H,0.022560285
Hx4bohCWUbfqWE219Ah4gwLCbR54peMiqJ4XMsQKNfN2,0.021562145
EVV4W2PYS3frdThwdQteEwJ2xXBRZrmjbfL6Nyq7B2Wv,0.021361067
GQaB9BijqwzHcdFo3fU2oNuNDaWwXd61xVRYmuhKWNog,0.021152407
Eajw7CXvDBYqDWYcDLr3Qwm2TJB7e5LEpZkyeLunE6yg,0.021102067
FpkZM49Yr1cVmn3vyTPSVUkGkPNfovix984wqWSLNZwU,0.019280214
3bRESz3xNDWtMDe58Ug8KnvNr6iAcAkUE9JhvP2F995D,0.018196597
ApGAKQULPaS8JmBV1E8dXHdVJEpmmLBFjeU8GDmtm1qe,0.017615532
J4jhuAvSkD5vmFfcsRR533VEW9bLGEErT72ApqyGw17R,0.015864652
DBjnGXLrEuuTZXoS5gWo1T8uWCcLbUdXrwKzXUWWJyf1,0.013128584
7ZN4k1jMU8RekBk5eTq1ztvH3WPx6DyoPpqvZsPqUyZM,0.011702738
FerYyCDuqCFuscVS1eZtEi2iyXEGSD6me4fZDWySQewZ,0.011057084
A2FuvpiMbkBne8bKjM8kf8FzL3WkG5Jc994RiDL6V1d6,0.010179866
7wazwrT7dmyj5D25YKdgRrbhHwynTACXtYNVLTByncCK,0.009967873
GbDrUT4jMv7BN1Ykto2ywtzy28mmsB3GeoapAiVcfnEL,0.009572417
H5cHu8P9bNYKc6iHrSqWXDP3JAGosDD9zgVumfNpZhJx,0.009083569
Hpi9MShzaPbuyuuqj81T2DFHhuUiPQqtiWrKNGxBgvLB,0.008369685
Cdhxwq3DXD2c8Zp7T4TZCTCk7H8rhx28C74ZVBRsg1Y8,0.007999285
B4EjrCikN6QzYdSGLEpZniWqXwsJTE3ueQH9atsg18SG,0.007418644
ASWJHHP4MPLPVp8YBEtRD2N4FTkgYjuKAhzHDRnbJpss,0.006898270
7dyNwZedtfYCGppqWmoFRMoZv3RNa1wRB3a4fYGQUoC8,0.006403481
Hb8ZsSZKNGbCPfc6EhUZddRj9f9hjreGQ1CD6P5BuBdz,0.006256390
3Vb2nzCYRc4tRsEfDngoV2Q8D9ABHYYqVGViM6oFAbJB,0.005830674
HqDTma2U1LAEiAtykfecPYRFCWWCN8vWN2U3S5buzPB5,0.005820936
GbXMn8XEJYBB79v4dCuPqp65KnLDcDfnA6Vd8YDXVkos,0.005785301
EJtiuziMaeKyDCADzG5E3BZqQp65kBK7qmsT3caX7fEA,0.005400270
8wkhZ2i8dNrYNVnLs98wiF2eHec7emdDAowCjCefhUSG,0.005348635
ALgGSpHYEtCUUD9G9ob24XbhPaSgjXksg9ykqXmMJKwL,0.004589603
H8wCeYomeffWZFtfKqrrR6QQYgiZhym1GoaKh3qqSNaj,0.004402422
6BXgUEptqayGV1AoDuitqHz7HsaXsjcZg9QgNTdhcD3,0.004229217
6MdYZ1PpA7zBfsPa8YCPV8xaKbFA9Z8gXm17P5bHs3Gh,0.003943060
7a63Zur4XrfALWKY5n9CKtfAN5TQJ7VMvZMptoTj53Zf,0.003834999
4e6z1q6sJ85Rk9fkQ6MgWeacr7P6Lxqg2hjHZJb5UDNK,0.003552072
GXtd2izAiMJPwMEjfgTRH3d7k9mjn4Jq3JrWFv9gySYy,0.003266481
5LqJC9kaFvYRBht8fVreEZg5zwBCjoz4AfLjALfEAXqp,0.003069959
H3PmAPEqcTtopZwi1s9GRVKZGCqrv1S5PMhcmexkVkKP,0.003004809
ESSfwQokMerWZmpCM6979j5nSfsKLGBcTXRfRvpJaGJ,0.002785199
7qiZ1W9cmjciBqapsh7q8PLiNJJTburdd71xr3hfzGQR,0.002498370
