Owner,AirdropAmount
3zos8vMY7orEVxW4DjAXbxkCzqytr6STvhRTCptF5HDf,180.727284699
F5rNukbXvCLr6maqy9HMoW1o3eipPauos4Zaejka1vB,86.169746131
owaiEcw2A92x6rhjoJ5i2kgxKsZE2LHkT4fjuL7ARH9,80.630899726
ARotFmcfdWUyvv2q67EeZHKN4MrD3JapX7SZstNScigx,76.054549388
7CVmzSGtVJidh5QLxpPQjFvZY7LabjqA7QXrn54omJqb,73.050013696
FbJR8KB8WKybYzBumJ4RyR6SVu7N3fEtqknowiq2qwkk,70.659282655
FwVD1iGubBH1kRNJhyTgdSoStksE3ok7MLjhffS17YhL,69.758048034
HZXS2ZhCBipHG6Bmk4LA8xHBvHqkh2ZvYbQDWf4JHzvb,69.729558557
B4wGbZSQj8Y2UEaGmhZcF7GAoVCYyqg2LnchaMcNreeD,69.084768316
DL59JFMnerHtZBLCyVNcbvemQbfWGfNkfYJXTDsu91AD,66.409110001
5eAumgfJM8dXKM9qt9GvNAuzXRJRAb4B4ZL244cFJWDz,66.409103360
8Ezq3aG1XjcBJYjoazvXAcb3EjG7qKYnoRtQa8Jk5F7H,59.967420333
EVV4W2PYS3frdThwdQteEwJ2xXBRZrmjbfL6Nyq7B2Wv,56.779783373
GQaB9BijqwzHcdFo3fU2oNuNDaWwXd61xVRYmuhKWNog,56.225144525
Eajw7CXvDBYqDWYcDLr3Qwm2TJB7e5LEpZkyeLunE6yg,56.091334382
FpkZM49Yr1cVmn3vyTPSVUkGkPNfovix984wqWSLNZwU,51.248673728
53MvniL8CW67ke3NRJqUhZCBxNwtFXydPNwGmcd9ei3T,49.592917979
3bRESz3xNDWtMDe58Ug8KnvNr6iAcAkUE9JhvP2F995D,48.368316488
ApGAKQULPaS8JmBV1E8dXHdVJEpmmLBFjeU8GDmtm1qe,46.823788076
7hMcKSPXV7TGrN3hK9sy7cxacNJtefxrqhbqAkLTRAik,42.991894308
J4jhuAvSkD5vmFfcsRR533VEW9bLGEErT72ApqyGw17R,42.169780634
DBjnGXLrEuuTZXoS5gWo1T8uWCcLbUdXrwKzXUWWJyf1,34.897047571
H1VgDwWnpS6esyLS3wdFqECfrQ9PdnpjNtdrTGau25ws,34.811951504
6UVnKCc45jEEJpRznJfC9o8pnhEgMJnZvH12CeHrvHx1,34.393515446
5oWeNrM9SXftEAfwyyNzFRkoWEZJ8nfRHTHpBCXjeuMy,33.963959161
2iFBd36bDQJWiWP86cSUC2mRb4CwujtcHZBPr8zJ5ZKW,33.204551680
3ZmdrU8RM4Avmgg5n5aBym9R7Aj4ViNWdVEvNhVv6GpF,33.204551680
HQfz7b3zCrd3tSdCzc7XyuBLrR3rNjrTS3YjwNZtpvRe,33.204551680
Hx4bohCWUbfqWE219Ah4gwLCbR54peMiqJ4XMsQKNfN2,33.204551680
7ZN4k1jMU8RekBk5eTq1ztvH3WPx6DyoPpqvZsPqUyZM,31.107009970
FerYyCDuqCFuscVS1eZtEi2iyXEGSD6me4fZDWySQewZ,29.390797880
A2FuvpiMbkBne8bKjM8kf8FzL3WkG5Jc994RiDL6V1d6,27.059067913
7wazwrT7dmyj5D25YKdgRrbhHwynTACXtYNVLTByncCK,26.495572016
GbDrUT4jMv7BN1Ykto2ywtzy28mmsB3GeoapAiVcfnEL,25.444410681
D5B4tAePXUE5xYttaMxk1PNo3LxHsSv2YcVeZqtsa7EP,25.370022019
H5cHu8P9bNYKc6iHrSqWXDP3JAGosDD9zgVumfNpZhJx,24.145006333
BBBKmCaMyArAVFwYCfZdq7Ba4zsTvXC9DuioLeL285Dp,24.109714636
Hpi9MShzaPbuyuuqj81T2DFHhuUiPQqtiWrKNGxBgvLB,22.247431264
Cdhxwq3DXD2c8Zp7T4TZCTCk7H8rhx28C74ZVBRsg1Y8,21.262873396
B4EjrCikN6QzYdSGLEpZniWqXwsJTE3ueQH9atsg18SG,19.719473448
ASWJHHP4MPLPVp8YBEtRD2N4FTkgYjuKAhzHDRnbJpss,18.336269181
7dyNwZedtfYCGppqWmoFRMoZv3RNa1wRB3a4fYGQUoC8,17.021072272
Hb8ZsSZKNGbCPfc6EhUZddRj9f9hjreGQ1CD6P5BuBdz,16.630090870
C6guN2ebV6accjMrGN6ayRrTWLuXiLhnZDU3qrRiyZgq,16.220186953
3Vb2nzCYRc4tRsEfDngoV2Q8D9ABHYYqVGViM6oFAbJB,16.051906513
HqDTma2U1LAEiAtykfecPYRFCWWCN8vWN2U3S5buzPB5,15.472612118
GbXMn8XEJYBB79v4dCuPqp65KnLDcDfnA6Vd8YDXVkos,15.377890424
EJtiuziMaeKyDCADzG5E3BZqQp65kBK7qmsT3caX7fEA,14.354439494
8wkhZ2i8dNrYNVnLs98wiF2eHec7emdDAowCjCefhUSG,14.217190376
ALgGSpHYEtCUUD9G9ob24XbhPaSgjXksg9ykqXmMJKwL,12.199608104
H8wCeYomeffWZFtfKqrrR6QQYgiZhym1GoaKh3qqSNaj,11.702062991
6BXgUEptqayGV1AoDuitqHz7HsaXsjcZg9QgNTdhcD3,11.241668686
BfRPyWCShrHtDyLxSaFL2aaPTAT2uUcRN5XQamijKMUa,10.466053806
