Owner,AirdropAmount
3zos8vMY7orEVxW4DjAXbxkCzqytr6STvhRTCptF5HDf,0.064135517
D5B4tAePXUE5xYttaMxk1PNo3LxHsSv2YcVeZqtsa7EP,0.056136980
B4wGbZSQj8Y2UEaGmhZcF7GAoVCYyqg2LnchaMcNreeD,0.050440020
53MvniL8CW67ke3NRJqUhZCBxNwtFXydPNwGmcd9ei3T,0.032855995
F5rNukbXvCLr6maqy9HMoW1o3eipPauos4Zaejka1vB,0.030579452
owaiEcw2A92x6rhjoJ5i2kgxKsZE2LHkT4fjuL7ARH9,0.028613856
ARotFmcfdWUyvv2q67EeZHKN4MrD3JapX7SZstNScigx,0.026989826
FbJR8KB8WKybYzBumJ4RyR6SVu7N3fEtqknowiq2qwkk,0.025075183
FwVD1iGubBH1kRNJhyTgdSoStksE3ok7MLjhffS17YhL,0.024755357
HZXS2ZhCBipHG6Bmk4LA8xHBvHqkh2ZvYbQDWf4JHzvb,0.024745247
5YFVLvWojMU3nUeppGd4tv8Fem8pC3rdriJbF8FhNkBz,0.024258329
H1VgDwWnpS6esyLS3wdFqECfrQ9PdnpjNtdrTGau25ws,0.024137327
DL59JFMnerHtZBLCyVNcbvemQbfWGfNkfYJXTDsu91AD,0.023566904
8Ezq3aG1XjcBJYjoazvXAcb3EjG7qKYnoRtQa8Jk5F7H,0.021280913
Hx4bohCWUbfqWE219Ah4gwLCbR54peMiqJ4XMsQKNfN2,0.020339376
EVV4W2PYS3frdThwdQteEwJ2xXBRZrmjbfL6Nyq7B2Wv,0.020149701
GQaB9BijqwzHcdFo3fU2oNuNDaWwXd61xVRYmuhKWNog,0.019952874
Eajw7CXvDBYqDWYcDLr3Qwm2TJB7e5LEpZkyeLunE6yg,0.019905388
FpkZM49Yr1cVmn3vyTPSVUkGkPNfovix984wqWSLNZwU,0.018186851
3bRESz3xNDWtMDe58Ug8KnvNr6iAcAkUE9JhvP2F995D,0.017164686
ApGAKQULPaS8JmBV1E8dXHdVJEpmmLBFjeU8GDmtm1qe,0.016616572
J4jhuAvSkD5vmFfcsRR533VEW9bLGEErT72ApqyGw17R,0.014964983
DBjnGXLrEuuTZXoS5gWo1T8uWCcLbUdXrwKzXUWWJyf1,0.012384075
FerYyCDuqCFuscVS1eZtEi2iyXEGSD6me4fZDWySQewZ,0.010430047
7ZN4k1jMU8RekBk5eTq1ztvH3WPx6DyoPpqvZsPqUyZM,0.009952727
A2FuvpiMbkBne8bKjM8kf8FzL3WkG5Jc994RiDL6V1d6,0.009602575
7wazwrT7dmyj5D25YKdgRrbhHwynTACXtYNVLTByncCK,0.009402605
GbDrUT4jMv7BN1Ykto2ywtzy28mmsB3GeoapAiVcfnEL,0.009029574
H5cHu8P9bNYKc6iHrSqWXDP3JAGosDD9zgVumfNpZhJx,0.008568449
Hpi9MShzaPbuyuuqj81T2DFHhuUiPQqtiWrKNGxBgvLB,0.007895048
Cdhxwq3DXD2c8Zp7T4TZCTCk7H8rhx28C74ZVBRsg1Y8,0.007545653
B4EjrCikN6QzYdSGLEpZniWqXwsJTE3ueQH9atsg18SG,0.006997940
ASWJHHP4MPLPVp8YBEtRD2N4FTkgYjuKAhzHDRnbJpss,0.006507076
7dyNwZedtfYCGppqWmoFRMoZv3RNa1wRB3a4fYGQUoC8,0.006040346
Hb8ZsSZKNGbCPfc6EhUZddRj9f9hjreGQ1CD6P5BuBdz,0.005901596
3Vb2nzCYRc4tRsEfDngoV2Q8D9ABHYYqVGViM6oFAbJB,0.005500022
GbXMn8XEJYBB79v4dCuPqp65KnLDcDfnA6Vd8YDXVkos,0.005457222
EJtiuziMaeKyDCADzG5E3BZqQp65kBK7qmsT3caX7fEA,0.005094026
8wkhZ2i8dNrYNVnLs98wiF2eHec7emdDAowCjCefhUSG,0.005045319
HqDTma2U1LAEiAtykfecPYRFCWWCN8vWN2U3S5buzPB5,0.004389227
ALgGSpHYEtCUUD9G9ob24XbhPaSgjXksg9ykqXmMJKwL,0.004329331
H8wCeYomeffWZFtfKqrrR6QQYgiZhym1GoaKh3qqSNaj,0.004152765
6BXgUEptqayGV1AoDuitqHz7HsaXsjcZg9QgNTdhcD3,0.003989382
6MdYZ1PpA7zBfsPa8YCPV8xaKbFA9Z8gXm17P5bHs3Gh,0.003729312
7a63Zur4XrfALWKY5n9CKtfAN5TQJ7VMvZMptoTj53Zf,0.003617519
4e6z1q6sJ85Rk9fkQ6MgWeacr7P6Lxqg2hjHZJb5UDNK,0.003350638
GXtd2izAiMJPwMEjfgTRH3d7k9mjn4Jq3JrWFv9gySYy,0.003081242
5LqJC9kaFvYRBht8fVreEZg5zwBCjoz4AfLjALfEAXqp,0.002895864
