Owner,AirdropAmount
3zos8vMY7orEVxW4DjAXbxkCzqytr6STvhRTCptF5HDf,147.51679677
F5rNukbXvCLr6maqy9HMoW1o3eipPauos4Zaejka1vB,119.94177532
owaiEcw2A92x6rhjoJ5i2kgxKsZE2LHkT4fjuL7ARH9,112.23211965
ARotFmcfdWUyvv2q67EeZHKN4MrD3JapX7SZstNScigx,105.86218579
9kYV7LFRf4ixKZkdcrsgbjLYZzrGzKAfZATBZPGdbsVz,104.04192712
7CVmzSGtVJidh5QLxpPQjFvZY7LabjqA7QXrn54omJqb,101.68009914
FbJR8KB8WKybYzBumJ4RyR6SVu7N3fEtqknowiq2qwkk,98.35238536
HZXS2ZhCBipHG6Bmk4LA8xHBvHqkh2ZvYbQDWf4JHzvb,97.05828035
B4wGbZSQj8Y2UEaGmhZcF7GAoVCYyqg2LnchaMcNreeD,89.04362436
DL59JFMnerHtZBLCyVNcbvemQbfWGfNkfYJXTDsu91AD,88.45693170
6gKPkdxaVgxYuRMuy6sVuYfNRtqaniYPwYYTPACCgP9y,85.66184236
5eAumgfJM8dXKM9qt9GvNAuzXRJRAb4B4ZL244cFJWDz,85.35372163
FwVD1iGubBH1kRNJhyTgdSoStksE3ok7MLjhffS17YhL,82.30604429
GQaB9BijqwzHcdFo3fU2oNuNDaWwXd61xVRYmuhKWNog,78.26115260
Eajw7CXvDBYqDWYcDLr3Qwm2TJB7e5LEpZkyeLunE6yg,75.76398765
FpkZM49Yr1cVmn3vyTPSVUkGkPNfovix984wqWSLNZwU,71.33428129
EVV4W2PYS3frdThwdQteEwJ2xXBRZrmjbfL6Nyq7B2Wv,69.50516546
53MvniL8CW67ke3NRJqUhZCBxNwtFXydPNwGmcd9ei3T,69.02959441
3bRESz3xNDWtMDe58Ug8KnvNr6iAcAkUE9JhvP2F995D,65.35096163
ApGAKQULPaS8JmBV1E8dXHdVJEpmmLBFjeU8GDmtm1qe,65.17517483
7hMcKSPXV7TGrN3hK9sy7cxacNJtefxrqhbqAkLTRAik,59.84146825
J4jhuAvSkD5vmFfcsRR533VEW9bLGEErT72ApqyGw17R,58.69714814
H1VgDwWnpS6esyLS3wdFqECfrQ9PdnpjNtdrTGau25ws,48.45560598
5oWeNrM9SXftEAfwyyNzFRkoWEZJ8nfRHTHpBCXjeuMy,47.27526471
2iFBd36bDQJWiWP86cSUC2mRb4CwujtcHZBPr8zJ5ZKW,46.21822688
3ZmdrU8RM4Avmgg5n5aBym9R7Aj4ViNWdVEvNhVv6GpF,46.21822688
HQfz7b3zCrd3tSdCzc7XyuBLrR3rNjrTS3YjwNZtpvRe,46.21822688
8Ezq3aG1XjcBJYjoazvXAcb3EjG7qKYnoRtQa8Jk5F7H,46.03335521
7ZN4k1jMU8RekBk5eTq1ztvH3WPx6DyoPpqvZsPqUyZM,43.29860732
DBjnGXLrEuuTZXoS5gWo1T8uWCcLbUdXrwKzXUWWJyf1,41.87241037
FerYyCDuqCFuscVS1eZtEi2iyXEGSD6me4fZDWySQewZ,40.90976977
6UVnKCc45jEEJpRznJfC9o8pnhEgMJnZvH12CeHrvHx1,40.86649141
A2FuvpiMbkBne8bKjM8kf8FzL3WkG5Jc994RiDL6V1d6,39.61981653
GbDrUT4jMv7BN1Ykto2ywtzy28mmsB3GeoapAiVcfnEL,35.41669700
D5B4tAePXUE5xYttaMxk1PNo3LxHsSv2YcVeZqtsa7EP,35.31315360
Hb8ZsSZKNGbCPfc6EhUZddRj9f9hjreGQ1CD6P5BuBdz,34.62438446
H5cHu8P9bNYKc6iHrSqWXDP3JAGosDD9zgVumfNpZhJx,33.60802433
