Owner,AirdropAmount
FCJLEh548MZ6W15TfbaL4GioxGr2rDKxjLLLxQThC8sM,9003.75978396
BoHZvWbppgTjzuMWBoW4biGyVurZKEm7Q8nQ7V63hgp9,9000.14691309
5XHR8mEy2jVfJfd8k1PJ4jWaXCTHzhLGjp2KoAzVnWqv,9000.14500551
Bv25Z3ZnxtrHXKE9YRH5Re7Fxz3n9KNo7Rd7uFGrMeQX,9000.14500551
Gp4WFEGSLohKsCHQA1pNobnfgSjib2ZKgUefA2KsVLFF,9000.14500551
Aw2UsSx47renTsfq9kTeeznd7y89bBbTFYZ3YXbjRRpr,8885.01337524
BU7nmaBt51cyHkP1r5kfZdST1EHciY3jkvycrPrA1yTe,8780.92213644
ASTyfSima4LLAdDgoFGkgqoKowG1LZFDr9fAQrg7iaJZ,8671.84634670
DF1RKciicKh6gPEU7XpgwRikfJ5dPoC8ZH9ygjo6V9Pj,8588.03459019
EnGZBjDA5tTkcX8SHLa6mEqty22tV7NpdWAKB9r7U5pi,8490.14540631
JqyVnwzk4m5oM3Mme1tw3BHmLkZ4aqNSZyD6cMfMEF9,8297.59344396
549yjh8E5F8d9d6b7ahXsjqUfgzQkZX7rq7r81ygWefd,8086.70399721
EUMSy1paPA7nxMNoQJ8eTYzcm1rJ7pjBm8LLSPdmv7vZ,7500.12083793
2Xiw3yvk9UfWwVy2bhnQjiQo2asdoSi2qwKFeaq9PYWZ,7350.11842116
GrqTwc5b6vLfouD7Qjx1tBuWnHsATFU2epJNCxFwLE5o,7248.82366290
CwfC5L5yRkXaccv4f5PMxp1ENH8xffMVDjVbZuxvQgK5,6704.69216253
5gPagGaLcFSjv951xo24mKFYkZ9e9PZbw3xoSV2uCBHd,6230.88932445
FybRkAm1tnBgMhi2c9u2gxozvrNtQDaUmAGiMwCPZSbt,6066.17560296
2GVm3oybRWWSePU3SUj4soEzUNPSJ3Te62EbYYxQj8Q2,6051.38324112
9w9867gBLAurxTRcdJbtxWjRn4hZTU89FM7E7eTNoLk8,6016.75032174
2PZHsXYdFnTsnHLGX3nqFcJdrDstZd9eg7M5QoQgPDsA,6012.50413956
BieMNUVgL1JWxhiWfgFPMQXYaQQYBJAbk3bFHKmVnMgN,6004.00514691
32MEPRdxAWzuxvYuLQowMZw2yyMTuseVyNqjgtq94TFv,5930.93804286
DnQUVL8Ued3UrD1Cf7r2m2ZSgeky6czpoMggJX1PZLqE,5164.70481957
GeSophKhB8dje4iBQrzmjrnwo8U3qtxxjTFMEzDPjdHE,5064.32178822
Cmms4T1HvgtbLuHFcQES4Ka1gip6PKyR6p4aC8Hz6Bzi,4960.95708948
DrjW2z6k8rGbQUc9wJPnaN59dTqaZF2Gzh3yEqFpNnkJ,4951.73118219
HQcDh8PhhGr3w7RofruHLi3G2tKa9kcRsUJ2FVucQ6Ri,4945.99968729
BbYDDnXYiDLhaptgfPa9V2AWn46YheLnonNauLRCNapB,4853.56084797
6u4FjGM9xyHEnKmquWxihbqQjhXDufRD56wux28FTXTd,4747.54788585
G8tu3xePunDLm9Uo2LNd7skBrkjH6zgzakADBBZe87Vw,4609.86721050
5LzCqEQdbYfxknbQKV3gdHW9DxcCz8vz2r4CT1CuQi6r,4502.39900643
BNSzAEw9wx2NNoNE3tpmcnpN6fqCN46pL4Cgz642k6ap,4502.08209156
6CaPqnYHScxnQu1zzgj8MBXYv3cc7WP9skMMso6RUGYy,4500.07250379
GWbbUvEuh77WG6iauUDjKbeZj16Nt1Ns1V38R3BAFfka,4472.41926588
JALSqbN16eX5U7vuR7pw8VEgFZb2mdXrdJZtmYJKTynz,4324.58125116
8B2JmRr5tdvxrcpPv234CnqvzK45SimwLGqpWeEeP7Rh,4321.68240555
Bxf3XgAV8bgRkAvLPxgZXRspardWbYVNc3T2GHvFhmGj,4077.83240202
n3Q4kFd8EWmXk9fJxwfD1XkDYzUp1jQ6Y2Jmg53gazG,4050.06525249
66Whuhhd3vV15RKeUASksvhEpxEJdibg77AtXZhY2fjx,4033.39213542
AuHL3vyzfcUiqmjJMUkNnH9CWDb66bp6KkCy9Dt9xAMh,3938.74516776
41aUQ3Q5qhMJhewU3vK4uyLfAbxXrqyb9mRKkUjPk9yz,3904.20201399
ATTMDv7LxWTwwXELhHxJQRv3TayikJiYXz71nQGYTrwS,3867.31751241
2fRCqc84E8K4gQgRHLwu8YqhKWvePBLhuLH1YQgNtUZm,3826.93594101
6c1HHnWvPw4T2Tb3ykJZeSVp1exMmjK6Y1YpwELWNpr7,3750.06041895
FP1V28kZHxkGtiHgc4EDn2W2CDD3ns5GFR7BZ52m4n6t,3750.06041895
5W5vnVSX7NjaghpfMf1jyvtcQNyRffk7hDZS67rKXQpW,3676.86997830
GzuFDx92H5wxfSB4W6HWkpL4r1bx7nYkKTEYSFpB9H6Q,3649.25443830
EcAaFpDAn2NjtsEfAuSvUjc1Hjoid977dwKWqq5JEzhh,3592.87498848
DrxaffnTCt851FmkEwobDksmgXSU2jYNwpFkgtdJfoue,3580.24484610
5gimqq76JPfJiE2XuCvUFc4sTXhnQf68hZMKH6wqYPNi,3550.27416510
H2kT8rcbHuLutaJVTTy8oftEgcZ48gFCjmyTEqCqRdDi,3519.71857893
2TcM7W8XYEWGfMs1XrPhHYbSj1BC9LExTtz9bPxhWeJk,3450.05558544
GcGvo1qLT5BXjjRZDCSpduT863EycUy2XE2rmHZVVKBo,3406.01257551
7hRKMffsVg3s5Bbj4E5Bm81PWfB5CodW7tMdMrLAZPY9,3346.63187586
Fcg2C7gF7tPc9CZ4Qi6yqUjzaRaed9xfhvLXJD3sLLqr,3325.02385017
BbZmuBVheCrFvHKdtNq551Zvifna1v9Xp2TyyT4WTgq3,3271.20537513
D44ty7komU2SVCo4TDmi7hGC8Qk6X58REYTobv9TCYsz,3263.37082773
9bcTWAxxftSoU8C4GhkNQnU2BrYx8Ufy9vgVdN1QGKNm,3235.24663992
FmfRxxJR5DhrYDrfKzSFcmJAJpkg6rQsGjxb6DibdN3,3184.88627163
B2u7eMGrfzZ7SMLQuWSSyybSGGKFGreBwXio6RM1cP5y,3175.58327964
1YtWWZw9e5aKDh94ncU92PVHpxJGszpzF9ghMeJeV8s,3116.90139600
8zSEuNci4ti6zEkoiyPgzht2sWqJqRkgCEwwyzcfXDim,3096.15437403
FaFsj2s7rrPzi2x3rteWocevvo7oQtxUdXdXrgA7YS43,3093.29582526
HVTdiGe9RCurtx6SMN9X3JDrhoVHiBnyszcKh1azrZbN,3063.04935021
CXJgJaNYoijShTV7b4QpcvqmL7NALqrzcx8fzQxQeN9C,3060.26287860
8iYiiRP1Lxi9kofoJ3PfqTFHftKavmVmARfGYNC1n8kb,3055.77219315
GCR28KAA3KMsuKCtMwapLNerFxCGTxTbD9NR15Hkj6QT,3037.35811653
UPNBvqVGY9zizdvbNFnoC71XH5YZCePRfrSCNWrdPCP,3030.60699825
ATKqrZGRNv7aBNuoCVbRgbST7EjpiUM9Uahz2hHSkaXi,3011.51173062
CgJQUYuXTnVTR7TQuF5NrcPBQurn81Fk4FX2UbiRU64D,3010.26006102
9utAocoBsRnHDHjma3iSpqe8ks2HLPWcvHKyAafvAUuW,3000.19939578
CJYQsyQTxqLJikpM3JThcAFkgEWhA59afRWJqVSy4esh,3000.05222484
FBsAa3Y6LvRXM92s211jV6w6JByMd291MueNYM3fRcFf,3000.04833516
4imj61KdcWCtWgh4n94M8CsWiSnXrqQTJgXrye2xUmKu,3000.04833516
C6D7BYzYkqiSqX7xTw9TvCtdabZghzmTLgJ5G6ZvjRHr,3000.04833516
6YvKrz3ffMBtdmEddBBYWxcm4hKgJZe9LcCdHVTsQLLM,3000.04833516
Fqd9AvFDpBPiNzJQuK7nhWTJQES1SXyhzRzXxyS85Zoh,3000.04833516
